2024-05-09 19:29:27,013 INFO    StreamThr :767170 [internal.py:wandb_internal():85] W&B internal server running at pid: 767170, started at: 2024-05-09 19:29:27.011987
2024-05-09 19:29:27,016 DEBUG   HandlerThread:767170 [handler.py:handle_request():158] handle_request: status
2024-05-09 19:29:27,028 INFO    WriterThread:767170 [datastore.py:open_for_write():87] open: /home/hyunseo/molo/MeOw-LO/wandb/run-20240509_192926-u4ihe3n7/run-u4ihe3n7.wandb
2024-05-09 19:29:27,029 DEBUG   SenderThread:767170 [sender.py:send():378] send: header
2024-05-09 19:29:27,038 DEBUG   SenderThread:767170 [sender.py:send():378] send: run
2024-05-09 19:29:32,040 DEBUG   HandlerThread:767170 [handler.py:handle_request():158] handle_request: keepalive
2024-05-09 19:29:32,645 INFO    SenderThread:767170 [dir_watcher.py:__init__():211] watching files in: /home/hyunseo/molo/MeOw-LO/wandb/run-20240509_192926-u4ihe3n7/files
2024-05-09 19:29:32,645 INFO    SenderThread:767170 [sender.py:_start_run_threads():1123] run started: u4ihe3n7 with start time 1715250567.011472
2024-05-09 19:29:32,646 DEBUG   HandlerThread:767170 [handler.py:handle_request():158] handle_request: status_report
2024-05-09 19:29:32,664 DEBUG   HandlerThread:767170 [handler.py:handle_request():158] handle_request: check_version
2024-05-09 19:29:32,665 DEBUG   SenderThread:767170 [sender.py:send_request():405] send_request: check_version
2024-05-09 19:29:32,752 DEBUG   HandlerThread:767170 [handler.py:handle_request():158] handle_request: run_start
2024-05-09 19:29:32,795 DEBUG   HandlerThread:767170 [system_info.py:__init__():26] System info init
2024-05-09 19:29:32,795 DEBUG   HandlerThread:767170 [system_info.py:__init__():41] System info init done
2024-05-09 19:29:32,796 INFO    HandlerThread:767170 [system_monitor.py:start():194] Starting system monitor
2024-05-09 19:29:32,796 INFO    SystemMonitor:767170 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-09 19:29:32,796 INFO    HandlerThread:767170 [system_monitor.py:probe():214] Collecting system info
2024-05-09 19:29:32,797 INFO    SystemMonitor:767170 [interfaces.py:start():188] Started cpu monitoring
2024-05-09 19:29:32,797 INFO    SystemMonitor:767170 [interfaces.py:start():188] Started disk monitoring
2024-05-09 19:29:32,798 INFO    SystemMonitor:767170 [interfaces.py:start():188] Started gpu monitoring
2024-05-09 19:29:32,800 INFO    SystemMonitor:767170 [interfaces.py:start():188] Started memory monitoring
2024-05-09 19:29:32,802 INFO    SystemMonitor:767170 [interfaces.py:start():188] Started network monitoring
2024-05-09 19:29:32,894 DEBUG   HandlerThread:767170 [system_info.py:probe():150] Probing system
2024-05-09 19:29:32,897 DEBUG   HandlerThread:767170 [system_info.py:_probe_git():135] Probing git
2024-05-09 19:29:32,911 DEBUG   HandlerThread:767170 [system_info.py:_probe_git():143] Probing git done
2024-05-09 19:29:32,911 DEBUG   HandlerThread:767170 [system_info.py:probe():198] Probing system done
